cline,passage,group,plate,DO528nm,exclude
GBM626,10,CTRL,1,943,
GBM626,10,CTRL,1,798,
GBM626,10,CTRL,1,816,
GBM626,10,CTRL,1,927,
GBM626,10,BMP4 100,1,621,
GBM626,10,BMP4 100,1,665,
GBM626,10,BMP4 100,1,639,
GBM626,10,BMP4 100,1,341,
QNS486b,15,CTRL,1,1964,
QNS486b,15,CTRL,1,1686,
QNS486b,15,CTRL,1,1633,
QNS486b,15,CTRL,1,1753,
QNS486b,15,BMP4 100,1,1141,
QNS486b,15,BMP4 100,1,1114,
QNS486b,15,BMP4 100,1,820,
QNS486b,15,BMP4 100,1,983,
GBM549,14,CTRL,1,1123,
GBM549,14,CTRL,1,1150,
GBM549,14,CTRL,1,1149,
GBM549,14,CTRL,1,1052,
GBM549,14,BMP4 100,1,988,
GBM549,14,BMP4 100,1,1041,
GBM549,14,BMP4 100,1,827,
GBM549,14,BMP4 100,1,920,
QNS522b,11,CTRL,1,2062,
QNS522b,11,CTRL,1,1859,
QNS522b,11,CTRL,1,1992,
QNS522b,11,CTRL,1,1934,
QNS522b,11,BMP4 100,1,2365,
QNS522b,11,BMP4 100,1,2132,
QNS522b,11,BMP4 100,1,2201,
QNS522b,11,BMP4 100,1,1806,
QNS140,10,CTRL,1,1449,
QNS140,10,CTRL,1,1492,
QNS140,10,CTRL,1,1242,
QNS140,10,CTRL,1,1600,
QNS140,10,BMP4 100,1,856,
QNS140,10,BMP4 100,1,832,
QNS140,10,BMP4 100,1,1104,
QNS140,10,BMP4 100,1,1082,
QNS120,13,CTRL,2,1592,
QNS120,13,CTRL,2,2179,
QNS120,13,CTRL,2,1676,
QNS120,13,CTRL,2,2023,
QNS120,13,BMP4 100,2,1019,
QNS120,13,BMP4 100,2,1107,
QNS120,13,BMP4 100,2,980,
QNS120,13,BMP4 100,2,1107,
QNS140,13,CTRL,2,1190,
QNS140,13,CTRL,2,1273,
QNS140,13,CTRL,2,1321,
QNS140,13,CTRL,2,1451,
QNS140,13,BMP4 100,2,851,
QNS140,13,BMP4 100,2,798,
QNS140,13,BMP4 100,2,922,
QNS140,13,BMP4 100,2,858,
QNS221,11,CTRL,2,949,
QNS221,11,CTRL,2,1075,
QNS221,11,CTRL,2,969,
QNS221,11,CTRL,2,980,
QNS221,11,BMP4 100,2,879,
QNS221,11,BMP4 100,2,865,
QNS221,11,BMP4 100,2,722,
QNS221,11,BMP4 100,2,795,
QNS263,10,CTRL,2,758,
QNS263,10,CTRL,2,803,
QNS263,10,CTRL,2,777,
QNS263,10,CTRL,2,834,
QNS263,10,BMP4 100,2,655,
QNS263,10,BMP4 100,2,619,
QNS263,10,BMP4 100,2,614,
QNS263,10,BMP4 100,2,723,
QNS282,13,CTRL,2,1696,
QNS282,13,CTRL,2,1572,
QNS282,13,CTRL,2,1826,
QNS282,13,CTRL,2,1911,
QNS282,13,BMP4 100,2,1230,
QNS282,13,BMP4 100,2,1257,
QNS282,13,BMP4 100,2,1105,
QNS282,13,BMP4 100,2,1100,
QNS068b,11,CTRL,3,435,
QNS068b,11,CTRL,3,516,yes
QNS068b,11,CTRL,3,445,
QNS068b,11,CTRL,3,488,
QNS068b,11,BMP4 100,3,473,
QNS068b,11,BMP4 100,3,648,yes
QNS068b,11,BMP4 100,3,483,
QNS068b,11,BMP4 100,3,581,
QNS120,13,CTRL,3,1255,
QNS120,13,CTRL,3,1547,
QNS120,13,CTRL,3,1366,
QNS120,13,CTRL,3,1492,
QNS120,13,BMP4 100,3,728,
QNS120,13,BMP4 100,3,777,
QNS120,13,BMP4 100,3,719,
QNS120,13,BMP4 100,3,936,
QNS166,14,CTRL,3,497,
QNS166,14,CTRL,3,559,
QNS166,14,CTRL,3,631,
QNS166,14,CTRL,3,643,
QNS166,14,BMP4 100,3,548,
QNS166,14,BMP4 100,3,448,
QNS166,14,BMP4 100,3,531,
QNS166,14,BMP4 100,3,651,
QNS221,11,CTRL,3,325,
QNS221,11,CTRL,3,259,
QNS221,11,CTRL,3,352,
QNS221,11,CTRL,3,357,
QNS221,11,BMP4 100,3,363,
QNS221,11,BMP4 100,3,332,
QNS221,11,BMP4 100,3,335,
QNS221,11,BMP4 100,3,465,
QNS263,14,CTRL,3,931,
QNS263,14,CTRL,3,918,
QNS263,14,CTRL,3,922,
QNS263,14,CTRL,3,1065,
QNS263,14,BMP4 100,3,811,
QNS263,14,BMP4 100,3,773,
QNS263,14,BMP4 100,3,874,
QNS263,14,BMP4 100,3,1322,
QNS282,16,CTRL,3,1234,
QNS282,16,CTRL,3,1349,
QNS282,16,CTRL,3,1486,
QNS282,16,CTRL,3,1553,
QNS282,16,BMP4 100,3,1004,
QNS282,16,BMP4 100,3,1065,
QNS282,16,BMP4 100,3,1007,
QNS282,16,BMP4 100,3,1526,
QNS315,9,CTRL,5,184,yes
QNS315,9,CTRL,5,203,yes
QNS315,9,CTRL,5,240,yes
QNS315,9,CTRL,5,250,yes
QNS315,9,BMP4 100,5,219,yes
QNS315,9,BMP4 100,5,214,yes
QNS315,9,BMP4 100,5,154,yes
QNS315,9,BMP4 100,5,189,yes
QNS337,8,CTRL,5,103,no
QNS337,8,CTRL,5,115,no
QNS337,8,CTRL,5,122,no
QNS337,8,CTRL,5,151,no
QNS337,8,BMP4 100,5,191,no
QNS337,8,BMP4 100,5,190,no
QNS337,8,BMP4 100,5,172,no
QNS337,8,BMP4 100,5,190,no
QNS557,6,CTRL,5,360,
QNS557,6,CTRL,5,452,
QNS557,6,CTRL,5,521,
QNS557,6,CTRL,5,498,
QNS557,6,BMP4 100,5,412,
QNS557,6,BMP4 100,5,343,
QNS557,6,BMP4 100,5,351,
QNS557,6,BMP4 100,5,309,
QNS471b,10,CTRL,5,191,yes
QNS471b,10,CTRL,5,211,
QNS471b,10,CTRL,5,245,
QNS471b,10,CTRL,5,222,
QNS471b,10,BMP4 100,5,199,
QNS471b,10,BMP4 100,5,208,yes
QNS471b,10,BMP4 100,5,169,
QNS471b,10,BMP4 100,5,160,
QNS587,6,CTRL,5,413,
QNS587,6,CTRL,5,602,
QNS587,6,CTRL,5,642,
QNS587,6,CTRL,5,683,
QNS587,6,BMP4 100,5,657,
QNS587,6,BMP4 100,5,656,
QNS587,6,BMP4 100,5,493,
QNS587,6,BMP4 100,5,456,
GBM965,9,CTRL,6,1803,
GBM965,9,CTRL,6,1784,
GBM965,9,CTRL,6,1830,
GBM965,9,CTRL,6,1861,
GBM965,9,CTRL,6,1916,
GBM965,9,BMP4 100,6,778,
GBM965,9,BMP4 100,6,858,
GBM965,9,BMP4 100,6,854,
GBM965,9,BMP4 100,6,887,
GBM965,9,BMP4 100,6,711,
QNS657,9,CTRL,6,649,
QNS657,9,CTRL,6,708,
QNS657,9,CTRL,6,756,
QNS657,9,CTRL,6,650,
QNS657,9,CTRL,6,732,
QNS657,9,BMP4 100,6,657,
QNS657,9,BMP4 100,6,744,
QNS657,9,BMP4 100,6,758,
QNS657,9,BMP4 100,6,724,
QNS657,9,BMP4 100,6,751,
GBM626,14,CTRL,6,863,yes
GBM626,14,CTRL,6,774,yes
GBM626,14,CTRL,6,731,yes
GBM626,14,CTRL,6,736,yes
GBM626,14,CTRL,6,827,yes
GBM626,14,BMP4 100,6,758,yes
GBM626,14,BMP4 100,6,857,yes
GBM626,14,BMP4 100,6,889,yes
GBM626,14,BMP4 100,6,806,yes
GBM626,14,BMP4 100,6,687,yes
QNS282,12,CTRL,6,1181,
QNS282,12,CTRL,6,1258,
QNS282,12,CTRL,6,1183,
QNS282,12,CTRL,6,1169,
QNS282,12,CTRL,6,1170,
QNS282,12,BMP4 100,6,974,
QNS282,12,BMP4 100,6,1034,
QNS282,12,BMP4 100,6,971,
QNS282,12,BMP4 100,6,931,
QNS282,12,BMP4 100,6,876,
QNS712,9,CTRL,6,907,
QNS712,9,CTRL,6,796,
QNS712,9,CTRL,6,724,
QNS712,9,CTRL,6,811,
QNS712,9,CTRL,6,739,
QNS712,9,BMP4 100,6,1326,
QNS712,9,BMP4 100,6,1496,
QNS712,9,BMP4 100,6,1455,
QNS712,9,BMP4 100,6,1112,
QNS712,9,BMP4 100,6,1119,
QNS522b,6,CTRL,6,893,
QNS522b,6,CTRL,6,980,
